subject,hemi,mask,annotated_feature,correlation
sub-15,right,MT,social,-0.020253141834857415
sub-15,right,MT,valence,-0.05443747907557594
sub-15,right,MT,arousal,0.0058551548940271704
sub-15,right,MT,pitch,0.018922232117151577
sub-15,right,MT,amplitude,0.0062035705012663716
sub-15,right,MT,music,-0.01359044375161153
sub-15,right,MT,speaking,-0.010085290510782559
sub-15,right,MT,turn_taking,-0.008771110358401708
sub-15,right,MT,mentalization,-0.023157431648428695
sub-15,right,MT,written_text,0.003531828879149208
sub-15,left,STS,pixel,0.03960671254280893
sub-15,left,STS,hue,-0.023919441839506655
sub-15,left,STS,face,0.0015752791358614817
sub-15,left,STS,num_agents,-0.007668214230841356
sub-15,left,STS,social,0.0005411195205690823
sub-15,left,STS,valence,-0.03588412895471507
sub-15,left,STS,arousal,0.005384087149648411
sub-15,left,STS,pitch,0.0038336152048111436
sub-15,left,STS,amplitude,-0.016490525470712968
sub-15,left,STS,music,-0.008998171576196165
sub-15,left,STS,speaking,0.013183312732674268
sub-15,left,STS,turn_taking,0.00223507820751536
sub-15,left,STS,mentalization,-0.018835389659909753
sub-15,left,STS,written_text,0.007377650586416666
sub-15,right,STS,pixel,-0.006964904510065373
sub-15,right,STS,hue,0.02200420728059675
sub-15,right,STS,face,0.017962861208351735
sub-15,right,STS,num_agents,0.01088060699200632
sub-15,right,STS,social,0.0048010687417885285
sub-15,right,STS,valence,-0.03265450745537181
sub-15,right,STS,arousal,0.020127593217314495
sub-15,right,STS,pitch,0.02619415638582206
sub-15,right,STS,amplitude,-0.0011054224764542678
sub-15,right,STS,music,0.023769763179395473
sub-15,right,STS,speaking,0.0048374252282432344
sub-15,right,STS,turn_taking,0.015496047782706832
sub-15,right,STS,mentalization,0.005145118191356232
sub-15,right,STS,written_text,0.005614071231758939
sub-16,left,MT,pixel,0.03016634616759442
sub-16,left,MT,hue,-0.02748457945593908
sub-16,left,MT,face,-0.019035491155800048
sub-16,left,MT,num_agents,-0.021272125570098156
sub-16,left,MT,social,-0.01599166119808874
sub-16,left,MT,valence,-0.00021876023960859767
sub-16,left,MT,arousal,-0.008192678381564072
sub-16,left,MT,pitch,-0.00997781679929847
sub-16,left,MT,amplitude,-0.003990743016277251
sub-16,left,MT,music,-0.02566508749604539
sub-16,left,MT,speaking,0.0004893940107581984
sub-16,left,MT,turn_taking,-0.004026183107508599
sub-16,left,MT,mentalization,-0.01873959121742545
sub-16,left,MT,written_text,0.010940557355065933
sub-16,right,MT,pixel,0.04542088392318771
sub-16,right,MT,hue,-0.03296956946027498
sub-16,right,MT,face,-0.024961959948049266
sub-16,right,MT,num_agents,-0.013330700285497618
sub-16,right,MT,social,-0.02085515574029104
sub-16,right,MT,valence,-0.027134048918579307
sub-16,right,MT,arousal,0.003806518141492556
sub-16,right,MT,pitch,-0.007895820089906353
sub-16,right,MT,amplitude,0.0045935458080857885
sub-16,right,MT,music,-0.02587967497604399
sub-16,right,MT,speaking,-0.002190512221378421
sub-16,right,MT,turn_taking,-0.009357376673332942
sub-16,right,MT,mentalization,-0.02319827015313402
sub-16,right,MT,written_text,0.012312054004440316
sub-16,left,STS,pixel,0.04058962646884165
sub-16,left,STS,hue,-0.01441955381760405
sub-16,left,STS,face,-0.007087970504558544
sub-16,left,STS,num_agents,-0.006852234469176266
sub-16,left,STS,social,-0.014109477830466047
sub-16,left,STS,valence,-0.030782579245932452
sub-16,left,STS,arousal,-0.008185824434182584
sub-16,left,STS,pitch,-0.008227177822247803
sub-16,left,STS,amplitude,-0.014218442288801316
sub-16,left,STS,music,-0.03517567770453633
sub-16,left,STS,speaking,0.0003917118707881697
sub-16,left,STS,turn_taking,-0.0024690687331025796
sub-16,left,STS,mentalization,-0.011319826762444475
sub-16,left,STS,written_text,0.011033312648544048
