subject,feature,region,hemi,method,c_x,c_y,n_units_tuned
sub-16,written_text,MT,,cca,0.01,1e-05,1
sub-16,written_text,STS,,cca,1.0,0.1,2
sub-19,pixel,MT,,cca,0.01,0.01,1
sub-19,pixel,STS,,cca,1e-05,0.001,2
sub-19,pixel,temporal,,cca,1e-05,0.01,2
sub-19,pixel,frontal,,cca,1.0,0.31622776601683794,2
sub-19,hue,MT,,cca,0.01,0.01,1
sub-19,hue,STS,,cca,1.0,0.1,2
sub-19,hue,temporal,,cca,0.31622776601683794,1e-05,2
sub-19,hue,frontal,,cca,1.0,0.00031622776601683794,2
sub-19,face,MT,,cca,0.01,0.03162277660168379,1
sub-19,face,STS,,cca,1e-05,0.0001,2
sub-19,face,temporal,,cca,0.1,0.0001,2
sub-19,face,frontal,,cca,1.0,0.03162277660168379,2
sub-19,num_agents,MT,,cca,1e-05,0.0001,1
sub-19,num_agents,STS,,cca,1.0,0.0001,2
sub-19,num_agents,temporal,,cca,1.0,0.1,2
sub-19,num_agents,frontal,,cca,1.0,0.0031622776601683794,2
sub-19,social,MT,,cca,0.0031622776601683794,0.31622776601683794,1
sub-19,social,STS,,cca,1e-05,0.01,2
sub-19,social,temporal,,cca,1e-05,1.0,2
sub-19,social,frontal,,cca,1.0,3.1622776601683795e-05,2
sub-19,valence,MT,,cca,0.01,0.31622776601683794,1
sub-19,valence,STS,,cca,1e-05,0.00031622776601683794,2
sub-19,valence,temporal,,cca,1e-05,0.00031622776601683794,2
sub-19,valence,frontal,,cca,0.31622776601683794,0.03162277660168379,2
sub-19,arousal,MT,,cca,0.00031622776601683794,0.1,1
sub-19,arousal,STS,,cca,1.0,1e-05,2
sub-19,arousal,temporal,,cca,1e-05,0.31622776601683794,2
sub-19,arousal,frontal,,cca,1e-05,0.0031622776601683794,2
sub-19,pitch,MT,,cca,0.01,0.03162277660168379,1
sub-19,pitch,STS,,cca,1e-05,0.0001,2
sub-19,pitch,temporal,,cca,1e-05,0.01,2
sub-19,pitch,frontal,,cca,1e-05,3.1622776601683795e-05,2
sub-19,amplitude,MT,,cca,0.01,0.31622776601683794,1
sub-19,amplitude,STS,,cca,1e-05,0.1,2
sub-19,amplitude,temporal,,cca,1.0,0.00031622776601683794,2
sub-19,amplitude,frontal,,cca,1.0,0.001,2
sub-19,music,MT,,cca,0.1,0.0031622776601683794,1
sub-19,music,STS,,cca,1.0,3.1622776601683795e-05,2
sub-19,music,temporal,,cca,1e-05,0.0001,2
sub-19,music,frontal,,cca,1e-05,0.0001,2
sub-19,speaking,MT,,cca,0.0001,0.0001,1
sub-19,speaking,STS,,cca,1e-05,0.0001,2
sub-19,speaking,temporal,,cca,1e-05,0.01,2
sub-19,speaking,frontal,,cca,1.0,0.0001,2
sub-19,turn_taking,MT,,cca,1e-05,1.0,1
sub-19,turn_taking,STS,,cca,1.0,3.1622776601683795e-05,2
sub-19,turn_taking,temporal,,cca,1e-05,0.03162277660168379,2
sub-19,turn_taking,frontal,,cca,1.0,0.03162277660168379,2
sub-19,mentalization,MT,,cca,0.01,0.0001,1
sub-19,mentalization,STS,,cca,1e-05,0.0031622776601683794,2
sub-19,mentalization,temporal,,cca,1.0,0.001,2
sub-19,mentalization,frontal,,cca,1e-05,0.001,2
sub-19,written_text,MT,,cca,0.01,1e-05,1
sub-19,written_text,STS,,cca,1.0,0.0001,2
